               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.017025,           0.0064229,           0.0009874,             0.94418,             0.92109,               0.974,             0.76842,             0.01551,           0.0042146,           0.0007999,            0.004555,            0.004555,            0.004555
                  57,            0.017209,           0.0067748,          0.00097845,             0.99501,             0.92469,             0.97045,             0.75815,             0.01583,           0.0042135,          0.00077995,            0.004456,            0.004456,            0.004456
                  58,            0.016949,           0.0065907,           0.0010032,             0.99456,             0.93137,             0.96907,              0.7907,            0.015594,           0.0042237,          0.00073766,            0.004357,            0.004357,            0.004357
                  59,            0.016242,           0.0064881,          0.00088258,             0.98923,             0.93365,             0.96904,             0.77341,            0.016242,           0.0042692,           0.0007429,            0.004258,            0.004258,            0.004258
                  60,            0.016136,           0.0065337,          0.00088085,             0.98336,             0.91978,             0.97616,             0.78062,             0.01585,           0.0042492,          0.00072212,            0.004159,            0.004159,            0.004159
                  61,            0.016517,           0.0067378,          0.00088243,             0.97195,             0.93616,             0.97827,             0.78706,            0.015378,           0.0040154,          0.00069965,             0.00406,             0.00406,             0.00406
                  62,            0.015791,           0.0065039,          0.00083467,               0.961,             0.97623,             0.97948,             0.78086,            0.015408,           0.0040574,          0.00066014,            0.003961,            0.003961,            0.003961
                  63,            0.015363,           0.0063167,          0.00085726,             0.97052,             0.97097,             0.98053,              0.7687,            0.015919,            0.004125,          0.00075132,            0.003862,            0.003862,            0.003862
                  64,            0.015321,           0.0064449,          0.00084894,             0.94915,             0.97524,              0.9813,             0.79705,            0.015495,           0.0041071,          0.00086575,            0.003763,            0.003763,            0.003763
                  65,            0.015029,           0.0063817,          0.00085582,             0.97701,             0.93329,             0.97749,             0.77973,            0.015538,           0.0041041,          0.00080619,            0.003664,            0.003664,            0.003664
                  66,            0.015108,           0.0060815,          0.00081376,              0.9548,             0.95621,             0.97739,             0.78467,            0.015113,           0.0039659,          0.00070816,            0.003565,            0.003565,            0.003565
                  67,            0.015156,           0.0063556,          0.00078693,             0.99372,             0.93696,             0.97735,             0.78293,            0.015197,           0.0039094,          0.00062967,            0.003466,            0.003466,            0.003466
                  68,            0.014451,           0.0062298,          0.00073874,             0.96666,             0.93632,             0.97674,             0.78857,            0.014979,           0.0039464,          0.00064686,            0.003367,            0.003367,            0.003367
                  69,            0.014361,           0.0061892,          0.00076783,             0.94986,             0.96074,             0.97276,             0.79484,            0.014553,           0.0039203,          0.00061966,            0.003268,            0.003268,            0.003268
                  70,            0.014093,           0.0058443,          0.00076585,             0.99222,             0.92738,             0.97204,              0.7829,            0.014742,           0.0039413,          0.00057656,            0.003169,            0.003169,            0.003169
                  71,            0.014137,           0.0062231,          0.00081495,             0.99398,             0.94122,             0.97788,             0.80768,            0.014322,            0.003883,          0.00055552,             0.00307,             0.00307,             0.00307
                  72,             0.01386,           0.0058946,          0.00071019,             0.98056,             0.95877,             0.97922,             0.78879,            0.014611,           0.0039096,          0.00056015,            0.002971,            0.002971,            0.002971
                  73,            0.013972,           0.0060626,           0.0007017,             0.96489,             0.96426,              0.9806,             0.78512,            0.014469,           0.0039654,          0.00066413,            0.002872,            0.002872,            0.002872
                  74,            0.013591,           0.0058543,           0.0006264,             0.98952,             0.96515,             0.98695,             0.78465,            0.014213,           0.0038269,          0.00063109,            0.002773,            0.002773,            0.002773
                  75,             0.01324,           0.0057488,          0.00056136,             0.97168,              0.9747,             0.98152,             0.79598,            0.014093,            0.003818,          0.00051593,            0.002674,            0.002674,            0.002674
                  76,            0.013595,           0.0060966,          0.00065752,             0.97816,               0.952,             0.97977,             0.80303,            0.014176,            0.003881,          0.00049798,            0.002575,            0.002575,            0.002575
                  77,             0.01328,           0.0060708,          0.00073921,             0.97039,             0.93778,             0.97306,             0.79903,            0.014252,           0.0039845,           0.0004841,            0.002476,            0.002476,            0.002476
                  78,            0.012788,           0.0056035,          0.00059623,             0.98209,             0.95842,             0.97174,              0.8018,            0.013964,           0.0037121,          0.00047072,            0.002377,            0.002377,            0.002377
                  79,            0.013041,           0.0059219,          0.00058773,             0.98399,             0.97253,               0.974,             0.78893,            0.014142,           0.0038213,          0.00044713,            0.002278,            0.002278,            0.002278
                  80,            0.012673,           0.0057773,          0.00056912,             0.99263,               0.937,             0.97826,             0.79415,            0.013935,           0.0037333,          0.00043819,            0.002179,            0.002179,            0.002179
                  81,            0.012669,           0.0056664,          0.00057139,             0.99283,              0.9322,             0.97827,             0.79167,            0.013755,           0.0037579,          0.00044767,             0.00208,             0.00208,             0.00208
                  82,            0.012244,           0.0055798,          0.00058056,             0.99138,             0.93221,             0.97664,             0.79157,            0.013974,           0.0037869,          0.00044773,            0.001981,            0.001981,            0.001981
                  83,            0.012095,           0.0056604,          0.00057812,             0.97177,             0.95972,             0.97696,             0.78816,            0.013822,           0.0038304,          0.00052793,            0.001882,            0.001882,            0.001882
                  84,            0.011814,           0.0056276,          0.00048472,             0.99012,             0.95418,             0.97633,             0.80222,            0.013711,           0.0037775,          0.00051582,            0.001783,            0.001783,            0.001783
                  85,            0.011929,           0.0057948,          0.00047988,             0.98967,             0.93416,             0.97536,             0.79542,            0.013994,           0.0039093,          0.00049935,            0.001684,            0.001684,            0.001684
                  86,            0.011532,            0.005654,          0.00043828,             0.98695,             0.93475,             0.97627,             0.79943,            0.013949,           0.0038525,          0.00048973,            0.001585,            0.001585,            0.001585
                  87,            0.011326,           0.0052391,          0.00042155,             0.97923,             0.95139,             0.97931,             0.78779,            0.013947,           0.0038257,          0.00043961,            0.001486,            0.001486,            0.001486
                  88,            0.011257,           0.0051402,          0.00044391,             0.95878,             0.96987,             0.98023,             0.80003,            0.013365,           0.0037235,          0.00040905,            0.001387,            0.001387,            0.001387
                  89,            0.011786,           0.0055937,          0.00048732,             0.98962,             0.95188,             0.98004,             0.79833,            0.013567,           0.0037686,          0.00037203,            0.001288,            0.001288,            0.001288
                  90,            0.011435,           0.0053758,          0.00041557,             0.98056,             0.93829,             0.97883,             0.80425,            0.013716,           0.0038651,           0.0003389,            0.001189,            0.001189,            0.001189
                  91,            0.011246,           0.0055547,          0.00038654,             0.97263,             0.95426,             0.97695,               0.793,            0.013881,           0.0038538,          0.00032433,             0.00109,             0.00109,             0.00109
                  92,            0.011376,           0.0051597,          0.00041346,             0.99038,             0.93371,             0.97634,             0.80647,            0.013818,            0.003907,          0.00030872,            0.000991,            0.000991,            0.000991
                  93,            0.010829,           0.0055046,          0.00034119,              0.9678,             0.95684,             0.97663,             0.81061,            0.013507,           0.0037507,          0.00031167,            0.000892,            0.000892,            0.000892
                  94,             0.01115,           0.0053749,          0.00039369,              0.9715,             0.96739,             0.98119,             0.81371,            0.013692,           0.0037793,          0.00029731,            0.000793,            0.000793,            0.000793
                  95,            0.011297,           0.0052765,          0.00037208,             0.97465,             0.96486,             0.98118,               0.807,            0.013638,           0.0038591,          0.00029279,            0.000694,            0.000694,            0.000694
                  96,            0.011276,           0.0054491,          0.00041246,             0.98809,             0.94842,             0.98004,             0.79898,            0.013807,           0.0038624,          0.00029348,            0.000595,            0.000595,            0.000595
                  97,            0.010522,           0.0052739,          0.00037574,             0.97788,             0.95195,             0.98116,             0.80558,            0.013541,            0.003906,          0.00027327,            0.000496,            0.000496,            0.000496
                  98,            0.010467,            0.005063,          0.00029978,             0.97538,             0.95624,             0.98114,              0.8074,            0.013576,           0.0038018,          0.00026536,            0.000397,            0.000397,            0.000397
                  99,            0.010357,           0.0048394,          0.00037464,             0.98763,              0.9416,             0.98054,             0.80357,             0.01365,           0.0038286,           0.0002523,            0.000298,            0.000298,            0.000298
